trial,brick_id,arm,pos_err_m,yaw_err_deg,offset_u_m,offset_v_m,time_to_place_s,rrt_nodes,rrt_path_length,trial_collisions,build_time_s
0,1,left,0.011001804783225828,0.029378886807698068,0.0007670424190037123,-0.0009487277770307466,2.111051727986492,831,3.5517591899451317,0,15.920031787519008
0,2,left,0.011111167741715793,1.8763447241808198,-0.00515575477729943,0.0011062523522474966,1.8092514148134753,970,3.180029635605499,0,15.920031787519008
0,3,left,0.007260550545818958,1.933524803204418,-0.0025699669329786435,-0.0010564006514646887,2.04944647489397,929,3.3650930446383955,0,15.920031787519008
0,4,left,0.00972328401203153,0.9561509901692307,-0.004882636369487266,0.001847938267726487,2.0764393200077826,890,2.863937409214989,0,15.920031787519008
0,5,right,0.004702075137235042,1.6459525027220654,-0.007027171022175223,0.001629462804915585,1.7085705100058177,918,3.2466743236562916,0,15.920031787519008
0,6,right,0.008874754386916052,1.3341573292648092,0.00040547441693334875,0.0008673581960699525,2.0707269685552863,783,3.0721315134570797,0,15.920031787519008
0,7,right,0.006118509382828818,1.0349146492639898,-0.0051949866941594595,0.0029048350637744425,1.646354301386444,873,3.2651012260420025,0,15.920031787519008
0,8,right,0.010344889325437112,4.54944311958468,0.005147855287542923,-0.0005739129746448446,1.8152137140155884,809,2.8322190855993554,0,15.920031787519008
1,1,left,0.008569702944282262,0.9436484121980795,0.0037535423638040207,-0.0009280396191607152,2.2223421808259918,847,3.0547784613739717,1,18.994321488107527
1,2,left,0.006473048424006684,1.492183488471349,7.496471236612458e-05,0.001442239976717727,2.1254695146067375,953,3.1606058061962305,1,18.994321488107527
1,3,left,0.006306806751823385,2.4236111438662125,-0.005983480965608891,0.00119932268017031,1.7403220030975868,869,3.7196913191144265,1,18.994321488107527
1,4,left,0.006574944115754296,0.6398293919940737,-0.005700132329463488,-0.0010170992277016874,2.0172631681787663,761,3.373769457418343,1,18.994321488107527
1,5,right,0.008950942409329112,0.3323652873669273,-0.0031769562543828146,0.0006980286340641119,1.8494796898323058,1028,3.1042577490107903,1,18.994321488107527
1,6,right,0.0039060100295125405,1.331998010383059,0.005010667475487471,0.001070613177448528,2.2496101216122057,804,2.944099386900101,1,18.994321488107527
1,7,right,0.0042936962343779,0.3739883114662147,-0.0013333361825926403,-0.004412418883507974,1.7964947067283032,925,3.535250627157753,1,18.994321488107527
1,8,right,0.015986923566767147,1.4486456599655977,-0.012792277684387855,0.0008031343870315075,1.9239588426020737,866,2.955161280376077,1,18.994321488107527
2,1,left,0.008628194269781378,0.578607748304513,-0.0029178474544399855,-0.00016134765245496148,2.5304635296912728,910,3.593095804409223,0,20.131960461575286
2,2,left,0.006002817605843392,0.6209299426605769,0.012770818394610988,-0.0024641600376731584,2.2136600708406777,827,3.5726292051496977,0,20.131960461575286
2,3,left,0.009539803864423452,1.1755424843187396,0.0026764332088924834,-0.0013649504410223401,1.6714947607900417,797,3.269035167088848,0,20.131960461575286
2,4,left,0.01431636502564174,1.1288170043340704,0.00783601045024095,0.000658147504091569,1.7607599176790838,988,3.3715025753846457,0,20.131960461575286
2,5,right,0.014143023967983968,0.46531858096769985,0.009905567593387498,0.0051709971623498914,1.8081985612770668,869,3.784577716896881,0,20.131960461575286
2,6,right,0.0035718172718260483,1.5859960768134265,-3.0731200320427775e-05,-0.0004903286955735377,2.007578527991771,1012,3.236233962760698,0,20.131960461575286
2,7,right,0.010575755173107432,1.1707689588419292,-0.007312878362541768,-0.0026344571007862524,1.9498222258423175,973,2.6694429129041746,0,20.131960461575286
